taxon,lfc_(Intercept),lfc_disease_groupT2D,se_(Intercept),se_disease_groupT2D,W_(Intercept),W_disease_groupT2D,p_(Intercept),p_disease_groupT2D,q_(Intercept),q_disease_groupT2D,diff_(Intercept),diff_disease_groupT2D,passed_ss_(Intercept),passed_ss_disease_groupT2D,diff_robust_(Intercept),diff_robust_disease_groupT2D
140233,0.001595525967013176,-0.015186146151590271,0.015405199503555872,0.0506907655820103,0.10357061371680984,-0.2995840756640633,0.9179244226896208,0.765736304043337,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
140233.1,0.09171430923302305,-0.12485415113401238,0.01887613404988603,0.05167518940766959,4.858744327129676,-2.4161334010607733,3.6379723326150736e-6,0.01720608181458415,2.546580632830552e-4,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
256813,0.08733564625746049,-0.14599801581346572,0.013721175121140877,0.05024996969745255,6.365026718658975,-2.9054349025979045,1.1849001842241283e-7,0.005828765512441129,9.2422214369482e-6,0.41491230421331154,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
256813.1,0.06342843263193315,-0.13708727360303985,0.01696010722374655,0.050833123720453684,3.7398603555480103,-2.696809945360099,3.234406971739034e-4,0.008356818807670004,0.018759560436086398,0.5682636789215603,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
192138,0.04219487387797131,-0.05339783203967633,0.020088102223648048,0.05206590754373125,2.1004907983940266,-1.0255815092597085,0.037573698773805,0.3069505739034741,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
192138.1,-0.07984907727444741,0.1971236598093023,0.02529400252993109,0.05637452706887205,-3.1568383524892827,3.4966796185887077,0.001809220157799683,5.656753125669638e-4,0.09588866836338321,0.04468834969279014,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
240960.1,-0.02730525029254029,-4.476789383667899e-4,0.010628738377923571,0.04990825673362271,-2.569002013376741,-0.008970037578274958,0.014366222538480064,0.9928912330413193,0.5746489015392026,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
175409.1,-0.10199546923804735,0.2858036091695384,0.010883740650709508,0.0501626323416403,-9.371361603641143,5.697540097637403,1.1691171543221634e-9,6.208173378131282e-6,9.352937234577307e-8,5.587356040318154e-4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
114812.1,-2.640995942044693e-4,-0.0231722842257796,0.009771190423825698,0.04991435044116419,-0.02702839498046205,-0.46424092512420034,0.9786358726571271,0.6461967219580642,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
228402.1,0.090769922770813,-0.006007718369517511,0.009239626936494681,0.04983379342490204,9.823981357114098,-0.1205551084239845,4.5829165536633333e-10,0.9050071032369025,3.7121624084673e-8,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
257397,-0.013723700662701822,0.0720248527352785,0.016630225562609884,0.05104144710877356,-0.8252263693618884,1.4111052255588985,0.41316305449185553,0.16440583911877996,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
257397.1,0.002403836978011163,0.016794476714737407,0.016853383024412957,0.05097514467403425,0.14263231153822864,0.32946403236580096,0.8869483801809019,0.7426880721362348,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
34164,-0.05857186895771524,0.10498786395676704,0.017812598893284553,0.0516851946126397,-3.2882270188993674,2.0312947400819517,0.001372243031479473,0.044751357753539917,0.07547336673137102,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
34164.1,-0.010017988208405389,0.021599393520060347,0.020174819876819714,0.05277600283185088,-0.49655899133532133,0.40926543051920716,0.6201530671422415,0.6828693000681493,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
152005,-0.08155800771404043,0.21303822774760187,0.014321083787241595,0.04987972499347874,-5.694960585783252,4.271038538713965,1.4980425254856312e-7,4.772620071767438e-5,1.153492744623936e-5,0.004056727061002322,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
