taxon,lfc,se,W,p_value,q_value,diff_abundant,diff_robust,direction,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Superkingdom.1,best_taxon_label
244444.1,0.38609594873964276,0.05066387030737803,7.620735376061799,5.123215134699133e-9,4.713357923923202e-7,TRUE,FALSE,Higher in T2D,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,NA,NA,Bacteria;;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;NA;NA,f__Christensenellaceae
248188.1,-0.26072265450392634,0.05020236100043002,-5.193434119596349,5.077336549337663e-6,4.6203762598972733e-4,TRUE,FALSE,Higher in Healthy,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Butyricicoccus,NA,Bacteria;;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Butyricicoccus;NA,g__Butyricicoccus
175409.1,0.2858036091695384,0.0501626323416403,5.697540097637403,6.208173378131282e-6,5.587356040318154e-4,TRUE,FALSE,Higher in T2D,Bacteria,NA,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,NA,NA,Bacteria;;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;NA,f__Muribaculaceae
254595,0.24463273243195066,0.052317095367840113,4.675961666295584,1.0492077412712075e-5,9.337948897313747e-4,TRUE,FALSE,Higher in T2D,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,NA,NA,NA,Bacteria;;Firmicutes;Clostridia;Clostridiales;NA;NA,o__Clostridiales_unclassified
254595.1,0.25461867666039656,0.05663959587044553,4.495418315533149,1.259717275851905e-5,0.0011085512027496764,TRUE,FALSE,Higher in T2D,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,NA,NA,NA,Bacteria;;Firmicutes;Clostridia;Clostridiales;NA;NA;NA,o__Clostridiales_unclassified
117829,0.24705143036504232,0.05052626600574678,4.889564377010228,1.8734551034517085e-5,0.0016299059400029863,TRUE,FALSE,Higher in T2D,Bacteria,NA,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,Bacteria;;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus,g__Streptococcus
244444,0.24530794347886145,0.05059323486986759,4.848631326101712,4.195178919454088e-5,0.0036078538707305157,TRUE,FALSE,Higher in T2D,Bacteria,NA,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,NA,NA,Bacteria;;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;NA,f__Christensenellaceae
152005,0.21303822774760187,0.04987972499347874,4.271038538713965,4.772620071767438e-5,0.004056727061002322,TRUE,FALSE,Higher in T2D,Bacteria,NA,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,NA,Bacteria;;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides,g__Parabacteroides
91820,0.2270555854390262,0.050299846104219614,4.514041354491911,7.260961684456399e-5,0.0060992078149433755,TRUE,FALSE,Higher in T2D,Bacteria,NA,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,NA,Bacteria;;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium,g__Fusobacterium
156414,-0.20412989589714367,0.05050238161076929,-4.041985533878552,3.25020381909998e-4,0.026976691698529835,TRUE,FALSE,Higher in Healthy,Bacteria,NA,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,NA,Bacteria;;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus,g__Haemophilus
10473,0.18875350692468051,0.05018612233974114,3.761069756433669,3.8168674541708353e-4,0.030993102860296114,TRUE,FALSE,Higher in T2D,Bacteria,NA,Firmicutes,NA,NA,NA,NA,NA,Bacteria;;Firmicutes;NA;NA;NA;NA,p__Firmicutes_unclassified
252422,0.19228303908994449,0.0507582612228794,3.7882117010594616,3.779646690280014e-4,0.030993102860296114,TRUE,FALSE,Higher in T2D,Bacteria,NA,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Bilophila,NA,Bacteria;;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Bilophila,g__Bilophila
8406,-0.1939152488517106,0.051394493132402935,-3.773074448893668,4.994219088951606e-4,0.03995375271161285,TRUE,FALSE,Higher in Healthy,Bacteria,NA,Tenericutes,Mollicutes,NA,NA,NA,NA,Bacteria;;Tenericutes;Mollicutes;NA;NA;NA,c__Mollicutes_unclassified
192138.1,0.1971236598093023,0.05637452706887205,3.4966796185887077,5.656753125669638e-4,0.04468834969279014,TRUE,FALSE,Higher in T2D,Bacteria,NA,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,Bacteria;;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA,g__Bacteroides
